ILLTP-cbv/SYJ/SYJ204+1.003.p ; 985 ;  true
ILLTP-cbv/SYJ/SYJ204+1.004.p ; 3818 ;  true
ILLTP-cbv/SYJ/SYJ204+1.005.p ; 12448 ;  true
ILLTP-cbv/SYJ/SYJ204+1.006.p ; 44446 ;  true
ILLTP-cbv/SYJ/SYJ204+1.007.p ; 137459 ;  true
ILLTP-cbv/SYJ/SYJ204+1.008.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.009.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.010.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.011.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.012.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.013.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.014.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.015.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.016.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.017.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.018.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.019.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ204+1.020.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.001.p ; 2110 ;  true
ILLTP-cbv/SYJ/SYJ205+1.002.p ; 10101 ;  true
ILLTP-cbv/SYJ/SYJ205+1.003.p ; 46905 ;  true
ILLTP-cbv/SYJ/SYJ205+1.004.p ; 192034 ;  true
ILLTP-cbv/SYJ/SYJ205+1.005.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.006.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.007.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.008.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.009.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.010.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.011.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.012.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.013.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.014.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.015.p ; timeout ; timeout
ILLTP-cbv/SYJ/SYJ205+1.016.p ; timeout ; timeout
